vehicle_id,timestamp,latitude,longitude,speed_kmh
V1,2025-06-03 12:00:00,-23.559302,-46.656338,58
V1,2025-06-03 12:01:01,-23.538189,-46.691494,51
V1,2025-06-03 12:02:02,-23.535784,-46.65278,88
V1,2025-06-03 12:03:03,-23.594541,-46.631437,95
V1,2025-06-03 12:04:04,-23.547697,-46.685669,57
V1,2025-06-03 12:05:05,-23.533316,-46.679061,22
V1,2025-06-03 12:06:06,-23.553062,-46.610943,15
V1,2025-06-03 12:07:07,-23.584458,-46.620959,57
V1,2025-06-03 12:08:08,-23.57877,-46.673817,104
V1,2025-06-03 12:09:09,-23.532959,-46.618942,23
V1,2025-06-03 12:10:10,-23.586502,-46.671839,118
V1,2025-06-03 12:11:11,-23.511666,-46.66902,46
V1,2025-06-03 12:12:12,-23.547205,-46.609091,97
V1,2025-06-03 12:13:13,-23.57954,-46.690363,3
V1,2025-06-03 12:14:14,-23.50738,-46.635543,118
V1,2025-06-03 12:15:15,-23.5902,-46.637699,114
V1,2025-06-03 12:16:16,-23.578807,-46.601502,9
V1,2025-06-03 12:17:17,-23.581911,-46.631329,117
V1,2025-06-03 12:18:18,-23.505086,-46.638095,52
V1,2025-06-03 12:19:19,-23.582409,-46.642641,61
V1,2025-06-03 12:20:20,-23.561411,-46.609283,3
V1,2025-06-03 12:21:21,-23.500027,-46.638836,53
V1,2025-06-03 12:22:22,-23.564403,-46.683623,36
V1,2025-06-03 12:23:23,-23.555683,-46.645513,7
V1,2025-06-03 12:24:24,-23.540426,-46.66701,117
V1,2025-06-03 12:25:25,-23.59519,-46.645971,29
V1,2025-06-03 12:26:26,-23.594927,-46.650369,38
V1,2025-06-03 12:27:27,-23.515374,-46.61062,31
V1,2025-06-03 12:28:28,-23.537029,-46.655542,32
V1,2025-06-03 12:29:29,-23.523148,-46.689708,88
V1,2025-06-03 12:30:30,-23.551138,-46.626336,68
V1,2025-06-03 12:31:31,-23.500133,-46.639322,49
V1,2025-06-03 12:32:32,-23.591588,-46.63151,60
V1,2025-06-03 12:33:33,-23.539302,-46.652435,52
V1,2025-06-03 12:34:34,-23.551818,-46.625611,39
V1,2025-06-03 12:35:35,-23.579552,-46.670496,65
V1,2025-06-03 12:36:36,-23.588105,-46.612151,39
V1,2025-06-03 12:37:37,-23.544418,-46.662315,78
V1,2025-06-03 12:38:38,-23.550506,-46.671748,47
V1,2025-06-03 12:39:39,-23.516138,-46.632624,7
V1,2025-06-03 12:40:40,-23.539525,-46.639922,3
V1,2025-06-03 12:41:41,-23.566946,-46.637541,19
V1,2025-06-03 12:42:42,-23.567024,-46.652821,25
V1,2025-06-03 12:43:43,-23.517472,-46.695895,25
V1,2025-06-03 12:44:44,-23.579075,-46.684008,84
V1,2025-06-03 12:45:45,-23.569156,-46.676349,50
V1,2025-06-03 12:46:46,-23.539963,-46.649098,13
V1,2025-06-03 12:47:47,-23.570147,-46.693378,87
V1,2025-06-03 12:48:48,-23.520545,-46.626884,114
V1,2025-06-03 12:49:49,-23.551518,-46.612281,41
V1,2025-06-03 12:50:50,-23.511406,-46.643654,65
V1,2025-06-03 12:51:51,-23.567564,-46.607758,109
V1,2025-06-03 12:52:52,-23.560521,-46.663748,50
V1,2025-06-03 12:53:53,-23.582297,-46.607664,34
V1,2025-06-03 12:54:54,-23.596635,-46.687826,64
V1,2025-06-03 12:55:55,-23.563487,-46.655872,113
V1,2025-06-03 12:56:56,-23.514535,-46.673781,39
V1,2025-06-03 12:57:57,-23.569155,-46.601653,105
V1,2025-06-03 12:58:58,-23.530461,-46.601071,10
V1,2025-06-03 12:59:59,-23.50488,-46.651464,73
V1,2025-06-03 12:00:00,-23.556419,-46.673004,85
V1,2025-06-03 12:01:01,-23.573784,-46.615053,55
V1,2025-06-03 12:02:02,-23.588991,-46.626453,33
V1,2025-06-03 12:03:03,-23.527868,-46.676833,103
V1,2025-06-03 12:04:04,-23.517638,-46.663942,111
V1,2025-06-03 12:05:05,-23.521731,-46.611799,37
V1,2025-06-03 12:06:06,-23.535811,-46.636646,113
V1,2025-06-03 12:07:07,-23.509128,-46.601406,14
V1,2025-06-03 12:08:08,-23.529774,-46.663099,119
V1,2025-06-03 12:09:09,-23.515629,-46.665521,64
V1,2025-06-03 12:10:10,-23.533575,-46.674451,73
V1,2025-06-03 12:11:11,-23.539503,-46.643573,54
V1,2025-06-03 12:12:12,-23.507679,-46.696489,79
V1,2025-06-03 12:13:13,-23.547692,-46.686048,5
V1,2025-06-03 12:14:14,-23.56785,-46.675243,15
V1,2025-06-03 12:15:15,-23.512124,-46.68988,17
V1,2025-06-03 12:16:16,-23.563793,-46.661327,112
V1,2025-06-03 12:17:17,-23.584753,-46.649233,45
V1,2025-06-03 12:18:18,-23.561978,-46.651976,0
V1,2025-06-03 12:19:19,-23.550782,-46.690625,42
V1,2025-06-03 12:20:20,-23.501179,-46.633218,59
V1,2025-06-03 12:21:21,-23.572681,-46.600091,27
V1,2025-06-03 12:22:22,-23.527535,-46.639765,40
V1,2025-06-03 12:23:23,-23.53056,-46.698738,36
V1,2025-06-03 12:24:24,-23.55747,-46.642491,0
V1,2025-06-03 12:25:25,-23.527824,-46.699593,20
V1,2025-06-03 12:26:26,-23.553278,-46.687492,81
V1,2025-06-03 12:27:27,-23.564393,-46.640799,82
V1,2025-06-03 12:28:28,-23.529015,-46.64033,91
V1,2025-06-03 12:29:29,-23.578855,-46.637276,26
V1,2025-06-03 12:30:30,-23.529519,-46.698982,14
V1,2025-06-03 12:31:31,-23.531953,-46.665662,100
V1,2025-06-03 12:32:32,-23.582725,-46.607683,76
V1,2025-06-03 12:33:33,-23.522818,-46.667848,7
V1,2025-06-03 12:34:34,-23.548845,-46.673729,69
V1,2025-06-03 12:35:35,-23.507285,-46.638983,50
V1,2025-06-03 12:36:36,-23.501646,-46.681348,105
V1,2025-06-03 12:37:37,-23.505381,-46.606094,89
V1,2025-06-03 12:38:38,-23.538842,-46.687349,66
V1,2025-06-03 12:39:39,-23.500797,-46.64761,116
V1,2025-06-03 12:40:40,-23.588781,-46.65868,25
V1,2025-06-03 12:41:41,-23.530907,-46.637116,37
V1,2025-06-03 12:42:42,-23.51358,-46.641952,33
V1,2025-06-03 12:43:43,-23.513293,-46.669698,19
V1,2025-06-03 12:44:44,-23.560072,-46.622625,92
V1,2025-06-03 12:45:45,-23.564616,-46.618865,66
V1,2025-06-03 12:46:46,-23.548214,-46.694564,118
V1,2025-06-03 12:47:47,-23.545967,-46.627038,29
V1,2025-06-03 12:48:48,-23.554495,-46.626606,23
V1,2025-06-03 12:49:49,-23.578914,-46.69872,3
V1,2025-06-03 12:50:50,-23.551704,-46.604459,49
V1,2025-06-03 12:51:51,-23.576391,-46.603272,108
V1,2025-06-03 12:52:52,-23.570892,-46.661684,3
V1,2025-06-03 12:53:53,-23.521825,-46.698395,80
V1,2025-06-03 12:54:54,-23.591854,-46.627847,20
V1,2025-06-03 12:55:55,-23.503616,-46.634201,23
V1,2025-06-03 12:56:56,-23.574932,-46.649545,49
V1,2025-06-03 12:57:57,-23.590202,-46.617099,88
V1,2025-06-03 12:58:58,-23.512118,-46.623128,55
V1,2025-06-03 12:59:59,-23.506082,-46.641639,107
V1,2025-06-03 12:00:00,-23.567447,-46.654958,79
V1,2025-06-03 12:01:01,-23.506927,-46.606289,102
V1,2025-06-03 12:02:02,-23.574219,-46.683257,90
V1,2025-06-03 12:03:03,-23.547485,-46.693763,92
V1,2025-06-03 12:04:04,-23.537436,-46.630126,94
V1,2025-06-03 12:05:05,-23.570281,-46.628212,8
V1,2025-06-03 12:06:06,-23.535548,-46.658339,66
V1,2025-06-03 12:07:07,-23.537112,-46.636197,101
V1,2025-06-03 12:08:08,-23.544958,-46.639154,59
V1,2025-06-03 12:09:09,-23.558693,-46.621149,94
V1,2025-06-03 12:10:10,-23.590489,-46.696385,95
V1,2025-06-03 12:11:11,-23.563719,-46.673477,107
V1,2025-06-03 12:12:12,-23.584257,-46.656609,55
V1,2025-06-03 12:13:13,-23.586496,-46.605298,102
V1,2025-06-03 12:14:14,-23.570113,-46.610027,14
V1,2025-06-03 12:15:15,-23.534389,-46.6974,113
V1,2025-06-03 12:16:16,-23.523373,-46.622482,29
V1,2025-06-03 12:17:17,-23.555122,-46.695028,67
V1,2025-06-03 12:18:18,-23.578316,-46.681541,59
V1,2025-06-03 12:19:19,-23.557435,-46.613511,67
V1,2025-06-03 12:20:20,-23.528182,-46.686197,32
V1,2025-06-03 12:21:21,-23.564877,-46.659094,116
V1,2025-06-03 12:22:22,-23.512206,-46.69478,15
V1,2025-06-03 12:23:23,-23.515544,-46.680096,11
V1,2025-06-03 12:24:24,-23.592976,-46.641941,32
V1,2025-06-03 12:25:25,-23.532063,-46.688173,2
V1,2025-06-03 12:26:26,-23.585548,-46.684654,73
V1,2025-06-03 12:27:27,-23.538146,-46.641443,118
V1,2025-06-03 12:28:28,-23.589632,-46.616615,5
V1,2025-06-03 12:29:29,-23.57654,-46.6306,100
V1,2025-06-03 12:30:30,-23.522733,-46.698125,30
V1,2025-06-03 12:31:31,-23.595835,-46.637701,16
V1,2025-06-03 12:32:32,-23.590781,-46.671326,42
V1,2025-06-03 12:33:33,-23.557956,-46.648299,102
V1,2025-06-03 12:34:34,-23.507961,-46.627156,35
V1,2025-06-03 12:35:35,-23.576047,-46.663015,42
V1,2025-06-03 12:36:36,-23.570292,-46.658764,64
V1,2025-06-03 12:37:37,-23.555309,-46.686183,37
V1,2025-06-03 12:38:38,-23.518394,-46.680962,107
V1,2025-06-03 12:39:39,-23.500393,-46.631035,110
V1,2025-06-03 12:40:40,-23.539853,-46.696288,93
V1,2025-06-03 12:41:41,-23.567083,-46.625528,78
V1,2025-06-03 12:42:42,-23.555162,-46.671412,25
V1,2025-06-03 12:43:43,-23.597461,-46.626455,75
V1,2025-06-03 12:44:44,-23.578975,-46.639699,107
V1,2025-06-03 12:45:45,-23.592568,-46.674166,57
V1,2025-06-03 12:46:46,-23.508421,-46.6977,117
V1,2025-06-03 12:47:47,-23.522047,-46.612283,15
V1,2025-06-03 12:48:48,-23.510347,-46.671205,58
V1,2025-06-03 12:49:49,-23.599108,-46.611413,49
V1,2025-06-03 12:50:50,-23.543143,-46.642367,1
V1,2025-06-03 12:51:51,-23.531184,-46.69222,82
V1,2025-06-03 12:52:52,-23.507872,-46.617352,3
V1,2025-06-03 12:53:53,-23.510311,-46.693785,108
V1,2025-06-03 12:54:54,-23.506813,-46.629155,16
V1,2025-06-03 12:55:55,-23.506756,-46.658838,97
V1,2025-06-03 12:56:56,-23.581866,-46.644177,40
V1,2025-06-03 12:57:57,-23.506268,-46.60559,48
V1,2025-06-03 12:58:58,-23.595947,-46.642335,16
V1,2025-06-03 12:59:59,-23.575238,-46.6755,71
V1,2025-06-03 12:00:00,-23.568113,-46.661627,40
V1,2025-06-03 12:01:01,-23.504839,-46.606722,79
V1,2025-06-03 12:02:02,-23.525798,-46.698387,53
V1,2025-06-03 12:03:03,-23.514243,-46.685722,25
V1,2025-06-03 12:04:04,-23.596276,-46.636267,83
V1,2025-06-03 12:05:05,-23.580217,-46.624645,104
V1,2025-06-03 12:06:06,-23.592873,-46.613602,110
V1,2025-06-03 12:07:07,-23.506144,-46.616249,27
